0;0
2.60869e-07;0.000999738
3.36777e-06;0.00399657
1.56272e-05;0.00898395
4.69418e-05;0.0159514
0.000110601;0.0248844
0.000223057;0.0357647
0.000403697;0.0485704
0.000674596;0.0632755
0.00106027;0.0798507
0.00158742;0.0982633
0.00228468;0.118477
0.00318232;0.140452
0.00431204;0.164146
0.00570664;0.189514
0.00739979;0.216506
0.00942578;0.245073
0.0118192;0.275161
0.0146148;0.306713
0.0178471;0.339673
0.0215502;0.373981
0.0257576;0.409574
0.030502;0.446391
0.0358149;0.484367
0.0417265;0.523436
0.0482658;0.563532
0.0554597;0.604588
0.0633336;0.646536
0.0719108;0.689308
0.0812125;0.732835
0.0912576;0.777049
0.102063;0.821882
0.113642;0.867266
0.126007;0.913133
0.139166;0.959416
0.153126;1.00605
0.16789;1.05297
0.183459;1.10011
0.199831;1.1474
0.217001;1.1948
0.234962;1.24223
0.253703;1.28963
0.273212;1.33696
0.293472;1.38415
0.314466;1.43115
0.336172;1.47792
0.358568;1.52439
0.381629;1.57052
0.405327;1.61627
0.429631;1.66159
0.45451;1.70644
0.479931;1.75079
0.505859;1.79458
0.532255;1.8378
0.559083;1.8804
0.586301;1.92235
0.61387;1.96362
0.641748;2.0042
0.669891;2.04404
0.698256;2.08313
0.7268;2.12145
0.755478;2.15898
0.784245;2.1957
0.813056;2.2316
0.841868;2.26665
0.870635;2.30086
0.899314;2.3342
0.927861;2.36667
0.956233;2.39826
0.984388;2.42897
1.01228;2.45879
1.03988;2.48772
1.06714;2.51575
1.09402;2.54288
1.12049;2.56911
1.14651;2.59445
1.17205;2.61889
1.19707;2.64244
1.22155;2.6651
1.24545;2.68687
1.26876;2.70776
1.29143;2.72777
1.31345;2.74692
1.3348;2.76519
1.35545;2.78261
1.3754;2.79917
1.39461;2.81488
1.41309;2.82976
1.4308;2.8438
1.44775;2.85702
1.46393;2.86942
1.47932;2.88101
1.49393;2.8918
1.50774;2.90179
1.52077;2.911
1.533;2.91943
1.54443;2.92709
1.55508;2.93398
1.56494;2.94011
1.57403;2.9455
1.58234;2.95014
1.58989;2.95405
