-0.000458407.-8.79412e-05.6.93755e-06. 1167
0.000207584.8.77769e-05.1.61747e-06. 1544
-1.50699e-05.-0.000130782.5.51861e-07. 1439
-0.000171833.0.000524538.9.70135e-06. 955
-0.000367637.-0.00013732.4.90418e-06. 821
-7.1027e-05.-3.22627e-06.1.60972e-07. 889
-0.000240084.-0.0003252.5.20291e-06. 590
-0.00019831.-0.000414404.6.7206e-06. 675
-0.00018103.9.02853e-05.1.3031e-06. 893
0.000459652.0.000181616.7.77799e-06. 826
0.000281105.0.000354441.6.51652e-06. 1003
0.00020748.4.43423e-05.1.43336e-06. 1051
-0.000177453.-0.000281387.3.52396e-06. 849
-0.000253229.-2.55349e-06.2.0421e-06. 646
0.00039435.-0.000288808.7.60786e-06. 957
-5.28751e-05.0.000405078.5.31399e-06. 985
0.000401971.-9.10727e-05.5.40924e-06. 885
-7.83188e-05.0.000381845.4.83813e-06. 1155
-0.000109089.0.000426158.6.16188e-06. 788
0.00035224.0.000205334.5.29334e-06. 672
-0.000327968.-0.000145229.4.09668e-06. 724
-0.000446925.-2.36522e-05.6.3781e-06. 1045
0.000248667.6.40466e-05.2.0996e-06. 1221
3.64668e-05.-0.000342423.3.77599e-06. 729
-0.000171469.-0.000172764.1.88663e-06. 660
-0.000276482.0.00034113.6.13963e-06. 601
0.000108117.9.2354e-05.6.43812e-07. 1171
0.000182727.9.70094e-05.1.36286e-06. 541
0.00010653.0.000436817.6.43721e-06. 702
7.13735e-05.0.000379218.4.74136e-06. 745
-5.36917e-05.0.00037668.4.60986e-06. 787
-0.000118218.-0.000337814.4.07882e-06. 946
0.000396591.-0.00021028.6.41633e-06. 751
-8.19852e-05.-0.000117203.6.51437e-07. 885
0.000169906.0.000208878.2.30853e-06. 1000
0.000113133.-5.68377e-05.5.10425e-07. 808
-3.97087e-05.0.000207415.1.42011e-06. 534
0.000188826.0.000164865.2.00085e-06. 851
-0.0002771.0.000318371.5.67257e-06. 1028
-7.52927e-05.0.000526401.9.00399e-06. 1388
0.000267376.-5.13717e-06.2.27725e-06. 665
-0.000249535.0.000176391.2.9735e-06. 854
-0.000473901.-0.000215623.8.63172e-06. 784
0.000279823.0.000388921.7.30977e-06. 708
-0.000158702.0.0002154.2.27941e-06. 623
-0.000400583.0.000107676.5.47884e-06. 621
0.000400358.0.000391707.9.98967e-06. 1161
0.000104877.0.000503156.8.41167e-06. 427
0.000481456.0.000179914.8.41179e-06. 585
0.000261743.0.000293996.4.93378e-06. 598
0.000303641.0.000305614.5.90991e-06. 1218
-0.000463184.-0.00015385.7.58518e-06. 461
0.000475249.7.49973e-05.7.37109e-06. 1104
0.000242933.0.000215938.3.36404e-06. 686
0.000316509.-0.000439065.9.32843e-06. 544
-0.000159333.0.00016458.1.67089e-06. 1623
-0.000194958.-1.3159e-05.1.21581e-06. 1121
0.000297599.-0.000401386.7.95031e-06. 998
0.000137715.0.000471888.7.69454e-06. 1150
-4.44847e-05.0.000528759.8.96573e-06. 615
-4.12401e-05.0.000200479.1.33397e-06. 1047
0.000217884.-0.000144336.2.17504e-06. 586
0.000410717.-0.00018127.6.41776e-06. 612
-0.000386061.-0.00020628.6.10085e-06. 699
5.18433e-06.0.000233861.1.74235e-06. 669
-0.000216629.4.78971e-05.1.56736e-06. 861
-0.000267417.-4.45135e-06.2.27775e-06. 636
0.000332635.0.000388997.8.34159e-06. 632
-0.000208846.0.000431305.7.31232e-06. 998
0.000180217.-2.92158e-05.1.06136e-06. 621
0.000256854.-0.000170675.3.02835e-06. 747
-0.000118376.-0.000329663.3.90677e-06. 746
0.000118718.-0.000193917.1.64619e-06. 935
-0.000167284.0.000191534.2.05922e-06. 912
-4.97323e-05.0.000541449.9.41392e-06. 914
-0.000330403.-0.000270575.5.80732e-06. 1311
-0.000315552.-0.000327258.6.58092e-06. 631
0.000353846.-0.000141734.4.62657e-06. 950
-0.000351655.-0.000248445.5.90314e-06. 666
0.000247108.0.000193203.3.13298e-06. 850
0.000352275.0.000408982.9.27777e-06. 689
0.000313635.-6.45937e-05.3.26511e-06. 949
-0.000400654.-8.87662e-05.5.36237e-06. 968
-0.000388656.-0.000295625.7.59276e-06. 1035
-7.76672e-05.-0.000180409.1.22847e-06. 1120
-0.000460577.5.53109e-05.6.85221e-06. 765
-0.00048963.-8.30985e-05.7.85373e-06. 911
-5.7181e-05.0.000167595.9.98507e-07. 742
-4.84918e-05.-0.00033363.3.61924e-06. 975
0.000129795.-0.000406237.5.79136e-06. 1060
0.000179638.0.000137485.1.62943e-06. 801
-0.000221169.0.00045388.8.11738e-06. 1125
4.16973e-05.-0.000153648.8.0709e-07. 563
-3.72225e-05.-0.00048193.7.43975e-06. 465
-4.93257e-05.-5.20785e-05.1.63836e-07. 1108
6.68256e-06.0.000165967.8.78524e-07. 951
-0.000429128.7.54076e-06.5.86564e-06. 575
0.0004238.0.000253691.7.76845e-06; 672
0.000190689;0.000394068;6,10268e-06; 345
-0.000324878;0.000361079;7,51239e-06; 774
